antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['pressure_Node_21__(54.53, 58.172]']",leak_label__1.0,0.165,0.979,0.662,0.168
"['pressure_Node_20__(57.144, 60.182]']",leak_label__1.0,0.17,0.991,0.671,0.171
"['pressure_Node_23__(54.161, 57.92]']",leak_label__1.0,0.173,0.999,0.677,0.173
"['pressure_Node_27__(48.927, 53.924]']",leak_label__1.0,0.171,0.995,0.674,0.172
"['pressure_Node_27__(53.924, 58.92]']",leak_label__1.0,0.095,0.682,0.412,0.139
"['pressure_Node_26__(48.779, 53.813]']",leak_label__1.0,0.173,0.996,0.676,0.174
"['pressure_Node_30__(45.594, 51.42]']",leak_label__1.0,0.173,1.0,0.677,0.173
"['pressure_Node_30__(51.42, 57.245]']",leak_label__1.0,0.089,0.824,0.523,0.108
"['pressure_Node_31__(46.621, 52.19]']",leak_label__1.0,0.176,1.0,0.68,0.176
"['pressure_Node_19__(66.08, 67.81]']",leak_label__1.0,0.085,0.251,-0.533,0.34
"['pressure_Node_2__(69.502, 69.618]']",leak_label__1.0,0.153,0.944,0.638,0.163
"['pressure_Node_2__(69.618, 69.734]']",leak_label__1.0,0.114,0.527,0.211,0.216
"['pressure_Node_2__(69.734, 69.851]']",leak_label__1.0,0.093,0.26,-0.52,0.36
"['pressure_Node_14__(57.637, 61.411]']",leak_label__1.0,0.126,0.522,0.207,0.242
"['pressure_Node_28__(17.09, 25.792]']",leak_label__1.0,0.295,1.0,0.795,0.295
"['pressure_Node_29__(17.549, 26.166]']",leak_label__1.0,0.261,1.0,0.758,0.261
"['pressure_Node_29__(26.166, 34.733]']",leak_label__1.0,0.164,1.0,0.67,0.164
"['pressure_Node_15__(53.593, 57.434]']",leak_label__1.0,0.14,0.931,0.621,0.151
"['pressure_Node_3__(64.226, 65.578]']",leak_label__1.0,0.155,0.948,0.641,0.164
"['pressure_Node_4__(63.722, 65.623]']",leak_label__1.0,0.123,0.489,0.135,0.251
"['pressure_Node_13__(64.26, 69.068]']",leak_label__1.0,0.115,0.289,-0.463,0.398
"['pressure_Node_10__(55.06, 58.584]']",leak_label__1.0,0.041,0.981,0.576,0.042
"['pressure_Node_6__(58.442, 61.144]']",leak_label__1.0,0.086,0.931,0.582,0.093
"['pressure_Node_21__(54.53, 58.172]', 'pressure_Node_20__(57.144, 60.182]']",leak_label__1.0,0.14,0.989,0.647,0.141
"['pressure_Node_21__(54.53, 58.172]', 'pressure_Node_20__(60.182, 63.22]']",leak_label__1.0,0.0,0.0,-1.0,0.002
"['pressure_Node_21__(58.172, 61.815]', 'pressure_Node_20__(57.144, 60.182]']",leak_label__1.0,0.03,1.0,0.578,0.03
