IF flow:=:flow=(-3.6, 216.0] THEN class:=:class=0 (conf=0.138, supp=0.688)
IF diameter:=:diameter=(483.305, 625.776] THEN class:=:class=0 (conf=0.116, supp=0.561)
IF length:=:length=(1215.863, 1777.14] THEN class:=:class=0 (conf=0.116, supp=0.561)
IF length:=:length=(863.518, 1215.863] THEN class:=:class=0 (conf=0.115, supp=0.560)
IF roughness:=:roughness=(123.203, 134.359] THEN class:=:class=0 (conf=0.115, supp=0.560)
IF roughness:=:roughness=(118.936, 123.203] THEN class:=:class=0 (conf=0.115, supp=0.561)
IF diameter:=:diameter=(284.43100000000004, 343.596] THEN class:=:class=0 (conf=0.115, supp=0.560)
IF roughness:=:roughness=(111.838, 118.936] THEN class:=:class=0 (conf=0.115, supp=0.560)
IF length:=:length=(102.966, 486.01] THEN class:=:class=0 (conf=0.115, supp=0.560)
IF diameter:=:diameter=(625.776, 999.575] THEN class:=:class=0 (conf=0.115, supp=0.559)
IF roughness:=:roughness=(134.359, 142.978] THEN class:=:class=0 (conf=0.115, supp=0.560)
IF length:=:length=(486.01, 863.518] THEN class:=:class=0 (conf=0.115, supp=0.560)
IF diameter:=:diameter=(343.596, 483.305] THEN class:=:class=0 (conf=0.115, supp=0.561)
IF flow:=:flow=(-1677.6009999999999, -3.6] THEN class:=:class=0 (conf=0.111, supp=0.556)
IF flow:=:flow=(216.0, 608.4] THEN class:=:class=0 (conf=0.111, supp=0.554)
IF flow:=:flow=(1558.8, 11545.2] THEN class:=:class=1 (conf=0.102, supp=0.511)
IF flow:=:flow=(608.4, 1558.8] THEN class:=:class=0 (conf=0.102, supp=0.514)
IF diameter:=:diameter=(999.575, 1140.161] THEN class:=:class=0 (conf=0.099, supp=0.560)
IF roughness:=:roughness=(142.978, 148.837] THEN class:=:class=0 (conf=0.099, supp=0.560)
IF length:=:length=(1777.14, 4014.992] THEN class:=:class=0 (conf=0.099, supp=0.560)
IF flow:=:flow=(1558.8, 11545.2] THEN class:=:class=0 (conf=0.098, supp=0.489)
IF flow:=:flow=(608.4, 1558.8] THEN class:=:class=1 (conf=0.097, supp=0.486)
IF length:=:length=(863.518, 1215.863] THEN class:=:class=1 (conf=0.091, supp=0.440)
IF diameter:=:diameter=(625.776, 999.575] THEN class:=:class=1 (conf=0.091, supp=0.441)
IF roughness:=:roughness=(134.359, 142.978] THEN class:=:class=1 (conf=0.091, supp=0.440)
IF length:=:length=(102.966, 486.01] THEN class:=:class=1 (conf=0.091, supp=0.440)
IF roughness:=:roughness=(123.203, 134.359] THEN class:=:class=1 (conf=0.091, supp=0.440)
IF roughness:=:roughness=(111.838, 118.936] THEN class:=:class=1 (conf=0.091, supp=0.440)
IF diameter:=:diameter=(284.43100000000004, 343.596] THEN class:=:class=1 (conf=0.090, supp=0.440)
IF diameter:=:diameter=(483.305, 625.776] THEN class:=:class=1 (conf=0.090, supp=0.439)
IF length:=:length=(486.01, 863.518] THEN class:=:class=1 (conf=0.090, supp=0.440)
IF length:=:length=(1215.863, 1777.14] THEN class:=:class=1 (conf=0.090, supp=0.439)
IF roughness:=:roughness=(118.936, 123.203] THEN class:=:class=1 (conf=0.090, supp=0.439)
IF diameter:=:diameter=(343.596, 483.305] THEN class:=:class=1 (conf=0.090, supp=0.439)
IF flow:=:flow=(216.0, 608.4] THEN class:=:class=1 (conf=0.089, supp=0.446)
IF flow:=:flow=(-1677.6009999999999, -3.6] THEN class:=:class=1 (conf=0.089, supp=0.444)
IF diameter:=:diameter=(999.575, 1140.161] THEN class:=:class=1 (conf=0.078, supp=0.440)
IF roughness:=:roughness=(142.978, 148.837] THEN class:=:class=1 (conf=0.078, supp=0.440)
IF length:=:length=(1777.14, 4014.992] THEN class:=:class=1 (conf=0.077, supp=0.440)
IF flow:=:flow=(-3.6, 216.0] ∧ diameter:=:diameter=(284.43100000000004, 343.596] THEN class:=:class=0 (conf=0.070, supp=0.579)
IF diameter:=:diameter=(284.43100000000004, 343.596] ∧ length:=:length=(102.966, 486.01] THEN class:=:class=0 (conf=0.066, supp=0.561)
IF diameter:=:diameter=(625.776, 999.575] ∧ length:=:length=(863.518, 1215.863] THEN class:=:class=0 (conf=0.066, supp=0.560)
IF flow:=:flow=(-3.6, 216.0] THEN class:=:class=1 (conf=0.062, supp=0.312)
IF diameter:=:diameter=(999.575, 1140.161] ∧ flow:=:flow=(1558.8, 11545.2] THEN class:=:class=0 (conf=0.059, supp=0.501)
IF diameter:=:diameter=(999.575, 1140.161] ∧ flow:=:flow=(1558.8, 11545.2] THEN class:=:class=1 (conf=0.059, supp=0.499)
IF flow:=:flow=(-3.6, 216.0] ∧ diameter:=:diameter=(343.596, 483.305] THEN class:=:class=0 (conf=0.056, supp=0.931)
IF diameter:=:diameter=(625.776, 999.575] ∧ length:=:length=(863.518, 1215.863] THEN class:=:class=1 (conf=0.052, supp=0.440)
IF diameter:=:diameter=(284.43100000000004, 343.596] ∧ length:=:length=(102.966, 486.01] THEN class:=:class=1 (conf=0.052, supp=0.439)
IF flow:=:flow=(-3.6, 216.0] ∧ diameter:=:diameter=(284.43100000000004, 343.596] THEN class:=:class=1 (conf=0.051, supp=0.421)
IF flow:=:flow=(216.0, 608.4] ∧ length:=:length=(1215.863, 1777.14] THEN class:=:class=0 (conf=0.050, supp=0.676)
IF roughness:=:roughness=(134.359, 142.978] ∧ diameter:=:diameter=(483.305, 625.776] THEN class:=:class=0 (conf=0.050, supp=0.562)
IF flow:=:flow=(-1677.6009999999999, -3.6] ∧ diameter:=:diameter=(483.305, 625.776] THEN class:=:class=0 (conf=0.049, supp=0.579)
IF diameter:=:diameter=(284.43100000000004, 343.596] ∧ roughness:=:roughness=(111.838, 118.936] THEN class:=:class=0 (conf=0.049, supp=0.559)
IF flow:=:flow=(-1677.6009999999999, -3.6] ∧ length:=:length=(486.01, 863.518] THEN class:=:class=0 (conf=0.049, supp=0.669)
IF roughness:=:roughness=(118.936, 123.203] ∧ diameter:=:diameter=(284.43100000000004, 343.596] THEN class:=:class=0 (conf=0.049, supp=0.560)
IF length:=:length=(486.01, 863.518] ∧ roughness:=:roughness=(111.838, 118.936] THEN class:=:class=0 (conf=0.049, supp=0.560)
IF length:=:length=(1777.14, 4014.992] ∧ diameter:=:diameter=(343.596, 483.305] THEN class:=:class=0 (conf=0.049, supp=0.560)
IF flow:=:flow=(216.0, 608.4] ∧ diameter:=:diameter=(343.596, 483.305] THEN class:=:class=1 (conf=0.047, supp=0.525)
IF flow:=:flow=(-1677.6009999999999, -3.6] ∧ length:=:length=(102.966, 486.01] THEN class:=:class=0 (conf=0.045, supp=0.630)
IF flow:=:flow=(-1677.6009999999999, -3.6] ∧ diameter:=:diameter=(284.43100000000004, 343.596] THEN class:=:class=0 (conf=0.045, supp=0.626)
IF flow:=:flow=(608.4, 1558.8] ∧ diameter:=:diameter=(625.776, 999.575] THEN class:=:class=0 (conf=0.045, supp=0.604)
IF flow:=:flow=(216.0, 608.4] ∧ roughness:=:roughness=(134.359, 142.978] THEN class:=:class=1 (conf=0.045, supp=0.544)
IF flow:=:flow=(1558.8, 11545.2] ∧ length:=:length=(863.518, 1215.863] THEN class:=:class=0 (conf=0.043, supp=0.515)
IF flow:=:flow=(1558.8, 11545.2] ∧ diameter:=:diameter=(625.776, 999.575] THEN class:=:class=1 (conf=0.043, supp=0.525)
IF flow:=:flow=(216.0, 608.4] ∧ diameter:=:diameter=(343.596, 483.305] THEN class:=:class=0 (conf=0.043, supp=0.475)
