antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__(111.272, 177.12]']",leak_label__1.0,0.069,0.371,-0.185,0.185
"['demand_Node_2__(177.12, 242.64]']",leak_label__1.0,0.1,0.378,-0.183,0.266
"['demand_Node_2__(242.64, 308.16]']",leak_label__1.0,0.183,0.439,-0.004,0.416
"['demand_Node_2__(308.16, 373.68]']",leak_label__1.0,0.08,0.647,0.365,0.124
"['flow_Link_13__(226.8, 378.0]']",leak_label__1.0,0.22,0.425,-0.068,0.517
"['flow_Link_13__(378.0, 529.2]']",leak_label__1.0,0.142,0.996,0.652,0.143
"['flow_Link_13__(75.6, 226.8]']",leak_label__1.0,0.062,0.193,-0.655,0.324
"['flow_Link_17__(-448.56, -301.68]']",leak_label__1.0,0.102,0.385,-0.162,0.266
"['flow_Link_17__(-595.44, -448.56]']",leak_label__1.0,0.124,0.34,-0.316,0.365
"['flow_Link_17__(-742.32, -595.44]']",leak_label__1.0,0.181,0.879,0.629,0.206
"['flow_Link_17__(-889.934, -742.32]']",leak_label__1.0,0.026,1.0,0.575,0.026
"['demand_Node_7__(267.84, 380.88]']",leak_label__1.0,0.087,0.388,-0.147,0.224
"['demand_Node_7__(380.88, 493.92]']",leak_label__1.0,0.173,0.402,-0.143,0.43
"['demand_Node_7__(493.92, 606.96]']",leak_label__1.0,0.105,0.657,0.393,0.159
"['pressure_Node_20__(54.714, 58.359]']",leak_label__1.0,0.133,1.0,0.646,0.133
"['pressure_Node_20__(58.359, 62.005]']",leak_label__1.0,0.159,0.907,0.625,0.176
"['pressure_Node_20__(62.005, 65.65]']",leak_label__1.0,0.126,0.314,-0.402,0.401
"['flow_Link_9__(328.172, 936.72]']",leak_label__1.0,0.128,0.319,-0.388,0.402
"['flow_Link_9__(936.72, 1542.24]']",leak_label__1.0,0.284,0.499,0.275,0.571
"['flow_Link_26__(-166.32, -30.96]']",leak_label__1.0,0.222,0.688,0.532,0.323
"['flow_Link_26__(-301.68, -166.32]']",leak_label__1.0,0.085,0.266,-0.491,0.321
"['flow_Link_26__(-437.04, -301.68]']",leak_label__1.0,0.005,0.022,-0.96,0.226
"['flow_Link_23__(1129.68, 1780.56]']",leak_label__1.0,0.01,0.029,-0.956,0.354
"['flow_Link_23__(1780.56, 2431.44]']",leak_label__1.0,0.062,0.592,0.287,0.105
"['flow_Link_23__(2431.44, 3082.32]']",leak_label__1.0,0.203,1.0,0.703,0.203
"['flow_Link_23__(3082.32, 3733.2]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_11__(148.37, 717.12]']",leak_label__1.0,0.423,0.43,-0.57,0.984
"['demand_Node_3__(151.92, 224.64]']",leak_label__1.0,0.076,0.399,-0.112,0.191
"['demand_Node_3__(224.64, 297.36]']",leak_label__1.0,0.171,0.393,-0.175,0.434
"['demand_Node_3__(297.36, 370.08]']",leak_label__1.0,0.108,0.623,0.355,0.173
"['demand_Node_22__(123.84, 164.16]']",leak_label__1.0,0.188,0.441,0.003,0.427
"['demand_Node_22__(164.16, 204.48]']",leak_label__1.0,0.074,0.711,0.426,0.105
